MPI ID Number,Risk Measure Type,Programme Type,Operator Business Name,Operator Trading Name,NZBN,Status,Effective Date,Expiry Date,Verification Agency,Is Suspended,Suspension Type,Suspension Start Date,Suspension End Date,Suspended Operations,Physical Address,Physical Town/City,Operator Local Authority,Number of Locations,Location Local Authority,Dairy ULIs,Fishing Vessel Name,Intended Use,Product/Material,Primary,Secondary Process,Market
"TRAVAMA1/01","Risk Management Programme","Eggs","Travama Holdings Limited","","9429035293507","Registered","2021-11-16","","Ministry for Primary Industries - Verification Services","No","","","","","1114 Kaiaua Road","MANGATANGI","Auckland Council","1","Auckland Council","N/A","N/A","Human Consumption","Eggs","Candling, Harvesting, Packing","Washing",""
"TRCTRANS01/01","Risk Management Programme","Transport - Dairy material and dairy products","Tom Ryan Cartage Limited","","9429039828880","Registered","2022-03-03","","Ministry for Primary Industries - Verification Services","No","","","","","32 Alfred Street, Onehunga","Auckland","Auckland Council","1","Auckland Council","N/A","N/A","Animal Consumption, Human Consumption","Animal products (non-dairy), Dairy material, Dairy products","","Transport",""
"TREAT1/01","Risk Management Programme","Custom","The Natural Pet Treat Company Limited","","9429037679248","Registered","2012-12-04","","Ministry for Primary Industries - Verification Services","No","","","","","11-13 Lansford Crescent, Avondale","Auckland","Auckland Council","1","Auckland Council","S2153","N/A","Animal Consumption, Animal Consumption (Feeds), Animal Consumption (Petfood)","Dairy products, Eggs, Fish, Poultry, Red meat","","Blending/mixing, Blending/mixing;Boning/cutting;Drying/reduction of water activity;Formulation;Refrigeration;Size reduction, Boning/cutting, Drying/reduction of water activity, Formulation, Non-refrigerated storage (stand-alone), Refrigeration, Size reduction",""
"TREAT2/01","Risk Management Programme","Stores - Cold and Dry","The Natural Pet Treat Company Limited","","9429037679248","Registered","2020-03-09","","Ministry for Primary Industries - Verification Services","No","","","","","9 Lansford Crescent, Avondale","Auckland","Auckland Council","1","Auckland Council","S2281","N/A","Animal Consumption","Animal products (non-dairy), Dairy products","","Non-refrigerated storage (stand-alone)",""
"TRL1/01","Risk Management Programme","Custom","Tekapo Rabbits 2023 Limited","","9429051342609","Registered","2023-04-13","","Ministry for Primary Industries - Verification Services","No","","","","","282 Woodside Road","Geraldine","Timaru District Council","1","Timaru District Council","N/A","N/A","Animal Consumption, Animal Consumption (Petfood), Not for human or animal consumption","Hides & Skins, Poultry, Red meat, Wild hares, Wild possums, Wild rabbits, Wild wallabies","Dressing","Boning/cutting, Formulation, Industrial Use, Packing/repacking, Refrigeration, Size reduction, Transport",""
"TSH01/01","Risk Management Programme","Bee Products Processing and Storage","True South Honey Limited","","9429047741348","Registered","2024-12-10","","AsureQuality Limited","No","","","","","3 Deans Street,RD2,Fairton","Ashburton","Ashburton District Council","1","Ashburton District Council","N/A","N/A","Animal Consumption, Human Consumption, Not for human or animal consumption","Bee products, Beeswax, Honey, Propolis","","Blending/mixing, Extraction, Industrial Use, Melting, Non-refrigerated storage (processes & receives external product), Transport",""
"TTH3P/01","Risk Management Programme","Bee products - Honey and dried pollen processing","Tai Tokerau Honey Limited","","9429032187410","Registered","2016-07-22","","AsureQuality Limited","No","","","","","4 Milky Way","Kaitaia","Far North District Council","1","Far North District Council","N/A","N/A","Human Consumption","Bee products, Beeswax","","Blending/mixing, Extraction, Melting, Non-refrigerated storage (processes & receives external product), Transport",""
"TTHC2/01","Risk Management Programme","Bee products - Honey and dried pollen processing","The True Honey Co Limited","","9429041127865","Registered","2023-09-01","","AsureQuality Limited","No","","","","","9 Oringi Road","Dannevirke","Tararua District Council","1","Tararua District Council","N/A","N/A","Human Consumption","Animal products (non-dairy), Bee products, Beeswax, Honey","","Blending/mixing, Drying/reduction of water activity, Extraction, Labelling, Melting, Non-refrigerated storage (processes & receives external product), Packing/repacking, Refrigerated storage (processes & receives external product), Repacking (product not exposed), Transport",""
"TTL02/01","Risk Management Programme","Bee products - Honey and dried pollen processing","Porou Miere Limited","","9429048366236","Registered","2023-01-25","","AsureQuality Limited","No","","","","","281 Waione Road","TE ARAROA","Gisborne District Council","1","Gisborne District Council","N/A","N/A","Animal Consumption, Human Consumption","Bee products, Beeswax, Honey","","Collection, Extraction, Melting, Non-refrigerated storage (processes & receives external product), Refrigerated storage (processes & receives external product), Transport",""
"TUAKAUPF1/01","Risk Management Programme","Custom","Tuakau Pet Food Processors Limited","","9429043354139","Registered","2017-10-16","","Ministry for Primary Industries - Verification Services","No","","","","","17 Carr Street","Tuakau","Auckland Council","1","Auckland Council","N/A","N/A","Animal Consumption, Human Consumption","Alpacas/llamas, Animal products (non-dairy), Deer Co-products, Deer Velvet, Fish, Ostriches & emus, Poultry, Red meat, Wild deer, Wild goats, Wild hares, Wild possums, Wild rabbits, Wild wallabies","Dressing","Blending/mixing, Blending/mixing;Collection;Drying/reduction of water activity;Formulation;Packing/repacking;Refrigerated storage (processes & receives external product);Refrigeration;Size reduction;Transport, Boning/cutting, Boning/cutting;Drying/reduction of water activity;Formulation;Refrigeration;Size reduction, Collection, Drying/reduction of water activity, Formulation, Non-refrigerated storage (processes & receives external product), Packing/repacking, Refrigerated storage (processes & receives external product), Refrigeration, Size reduction, Transport",""
"TURK475/01","Risk Management Programme","Custom","Turks Poultry Farm Limited","","9429040893594","Registered","2023-05-12","","Ministry for Primary Industries - Verification Services","No","","","","","Purcell Street West","Foxton","Horowhenua District Council","1","Horowhenua District Council","N/A","N/A","Animal Consumption, Human Consumption","Chickens, Poultry","Dressing, Slaughter","Boning/cutting, Collection, Collection;Transport, Drying/reduction of water activity, Formulation, Refrigeration, Salting/curing/brining, Smoking, Thermal processing other than in-container retorting/UHT, Transport",""
"TURKWYLIE1/01","Risk Management Programme","Stores - Cold and Dry","Turks Poultry Farm Limited","","9429040893594","Registered","2023-04-27","","Ministry for Primary Industries - Verification Services","No","","","","","420 Wylie Road","Foxton","Horowhenua District Council","1","Horowhenua District Council","N/A","N/A","Human Consumption","Animal products (non-dairy)","","Refrigerated storage (stand-alone)",""
"TURNER01/01","Risk Management Programme","Dual operator butcher","Turner Holdings (2009) Limited","","9429032061840","Registered","2019-01-09","","Ministry for Primary Industries - Verification Services","No","","","","","121 Cordelia Street","Stratford","Stratford District Council","1","Stratford District Council","N/A","N/A","Animal Consumption (Petfood), Human Consumption","Animal products (non-dairy), Poultry, Red meat","","Blending/mixing, Blending/mixing;Boning/cutting;Refrigerated storage (processes & receives external product), Boning/cutting, Collection, Drying/reduction of water activity, Dual Operator butchering, Formulation, Refrigerated storage (processes & receives external product), Salting/curing/brining, Size reduction, Smoking, Thermal processing other than in-container retorting/UHT",""
"TVF65/01","Risk Management Programme","Eggs","IKA Services Limited","Thistle Valley Farm","9429048735315","Registered","2025-02-03","","FSQSNZ LIMITED","No","","","","","65 Puaha Road","Little River","","1","","N/A","N/A","Human Consumption","Eggs","Candling, Harvesting, Packing","Retail sale, Transport",""
"TWHC2013/01","Risk Management Programme","Bee products - Honey and dried pollen processing","The Wright Honey Co Limited","","9429030100329","Registered","2018-11-28","","AsureQuality Limited","No","","","","","1703 Cust Road","Cust","Waimakariri District Council","1","Waimakariri District Council","N/A","N/A","Animal Consumption, Human Consumption","Bee products, Beeswax, Honey","","Collection;Melting;Non-refrigerated storage (processes & receives external product);Transport, Extraction, Non-refrigerated storage (processes & receives external product), Non-refrigerated storage (processes & receives external product);Transport, Packing/repacking, Transport",""
"TWWFR01/01","Risk Management Programme","Eggs","Te Waewae Eggs Limited","","9429034285985","Registered","2021-11-11","","Ministry for Primary Industries - Verification Services","No","","","","","751 Tuatapere Orepuki Highway, RD 1","Riverton","Southland District Council","1","Southland District Council","N/A","N/A","Animal Consumption, Human Consumption","Eggs","Candling, Candling;Harvesting;Packing, Harvesting, Packing","",""
"TZ2020/01","Risk Management Programme","Custom","The Zone Pharmaceutical Limited","","9429048231015","Registered","2022-06-01","","Ministry for Primary Industries - Verification Services","No","","","","","4/10 Canaveral Drive, Albany","Auckland","Auckland Council","1","Auckland Council","TZ2020","N/A","Human Consumption","Animal products (non-dairy), Dairy products","","Non-refrigerated storage (stand-alone), Non-refrigerated storage (stand-alone);Repacking (product not exposed), Repacking (product not exposed)",""
"UDDERLY53B/01","Risk Management Programme","Dairy - Liquid milk domestic supply","Udderly Organic Limited","","9429048991919","Registered","2023-09-05","","AsureQuality Limited","No","","","","","218 Paiaka Road, RD 5","Levin","Horowhenua District Council","1","Horowhenua District Council","UDDERLY53B","N/A","Human Consumption","Dairy material, Dairy products, Milk & cream","","Filtration, Refrigerated storage (processes & receives external product), Thermal processing other than in-container retorting/UHT, Transport",""
"UNIPHARM1/01","Risk Management Programme","Custom","Unipharm Healthy Manufacturing Co. Limited","","9429043332106","Registered","2023-03-23","","Ministry for Primary Industries - Verification Services","No","","","","","1-3 Paul Matthews Road, Rosedale","Auckland","Auckland Council","1","Auckland Council","898","N/A","Animal Consumption, Human Consumption, Sensitive Populations","Animal products (non-dairy), Bee products, Bivalve molluscan shellfish, Casein, Caseinate, Colostrum products, Dairy products, Deer Velvet, Eggs, Fish, Gelatine, Hydrolysates, Lactose, Milk powders, Milk proteins, Non-AP, Nutritional powders excl IF & FOF, Red meat, Speciality powders, Whey products","","Blending/mixing, Blending/mixing;Encapsulation/tabletting;Formulation;Packing/repacking;Supplement manufacture;Transport, Blending/mixing;Encapsulation/tabletting;Formulation;Supplement manufacture, Blending/mixing;Formulation;Supplement manufacture, Encapsulation/tabletting, Formulation, Labelling, Labelling;Non-refrigerated storage (processes & receives external product);Packing/repacking;Repacking (product not exposed);Transport, Non-refrigerated storage (processes & receives external product), Packing/repacking, Refrigerated storage (processes & receives external product), Repacking (product not exposed), Retail sale, Supplement manufacture, Transport",""
